Name,Type,Address,Coordinates,Outdoor space,Hours,Offleash
The Port,Retail,"5485 Clyde St, Halifax, NS B3J 3T5","44.64228908900502, -63.57614903330865   ",0,"Monday
10 a.m.–9 p.m.
Tuesday
10 a.m.–9 p.m. Wednesday
10 a.m.–9 p.m.
Thursday
10 a.m.–9 p.m.
Friday
10 a.m.–9 p.m.
Saturday
10 a.m.–9 p.m.
Sunday
12–5 p.m.",0
Bishop's Cellar,Retail,"1475 Lower Water St, Halifax, NS B3J 3Z2","44.643948239112355, -63.56945179720673   ",0,"Monday
10 a.m.–10 p.m.
Tuesday
10 a.m.–10 p.m. 
Wednesday
10 a.m.–10 p.m.
Thursday
10 a.m.–11 p.m.
Friday
10 a.m.–11 p.m.
Saturday
10 a.m.–11 p.m.
Sunday
12–8 p.m.",0
The Beer Garden,Bar,"1599 Lower Water St, Halifax, NS B3J 1S2","44.646722375523524, -63.5693365737636   ",1,Summer time only,0
Good Robot Brewing Company,Bar,"2736 Robie St, Halifax, NS B3K 4P2","44.65707192526322, -63.5979297905904 ",1,"Monday
4–10 p.m.
Tuesday
Closed
Wednesday
4–10 p.m.
Thursday
4–10 p.m.
Friday
12 p.m.–1 a.m.
Saturday
10 a.m.–1 a.m.
Sunday
10 a.m.–10 p.m.",0
 Garrison Brewing Company ,Bar,"1149 Marginal Rd, Halifax, NS B3H 4P7","44.64015724227044, -63.566234984180745 ",1,"Monday
12–7 p.m.
Tuesday
12–7 p.m.
Wednesday
12–7 p.m.
Thursday
12–7 p.m.
Friday
12–8 p.m.
Saturday
10 a.m.–8 p.m.
Sunday
10 a.m.–7 p.m.
",0
The Bicycle Thief,Restaurant,"1475 Lower Water St, Halifax, NS B3J 3Z2","44.644225252921025, -63.56827204319274    ",1,"Monday
11:30 a.m.–11 p.m.
Tuesday
11:30 a.m.–11 p.m
Wednesday
11:30 a.m.–11 p.m.
Thursday
11:30 a.m.–11 p.m.
Friday
11:30 a.m.–11 p.m.
Saturday
11:30 a.m.–11 p.m.
Sunday
11:30 a.m.–11 p.m..",0
Point Pleasant Park,Public Space,"5530 Point Pleasant Dr, Halifax, NS B3H 1B5","44.62819291143239, -63.56685583672028   ",1,"Monday
5 a.m.–10 p.m.
Tuesday
5 a.m.–10 p.m.
Wednesday
5 a.m.–10 p.m.
Thursday
5 a.m.–10 p.m.
Friday
5 a.m.–10 p.m.
Saturday
5 a.m.–10 p.m.
Sunday
5 a.m.–10 p.m.",1
Shubie Park,Public Space,"54 Locks Rd, Dartmouth, NS B2X 2M1","44.70167507005951, -63.55540395844657  ",1,null,1
The Halifax Common,Public Space,"5816 Cogswell St, Halifax, NS B3H 2Z4","44.649556609686655, -63.59100486567926   ",1,"Monday
6 a.m.–9 p.m.
Tuesday
6 a.m.–9 p.m.
Wednesday
6 a.m.–9 p.m.
Thursday
6 a.m.–9 p.m.
Friday
6 a.m.–9 p.m.
Saturday
8 a.m.–5 p.m.
Sunday
8 a.m.–5 p.m.",0
Marshalls,Retail,"75 Countryview Dr, Dartmouth, NS B3B 0G4","44.702951815503944, -63.56660485715939",0,,0
